基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,出城２丁目,,計,209,324,,3,4,3,3,4,3,3,1,3,2,3,3,,2,2,3,,2,1,2,3,2,7,5,4,2,4,1,2,2,6,4,6,4,5,5,4,4,4,2,3,1,4,2,2,1,2,5,4,1,3,4,2,6,5,4,6,3,4,3,,3,3,2,2,5,2,3,4,3,2,6,7,5,3,6,6,9,2,5,7,3,5,9,4,4,4,3,3,2,1,,3,2,,1,1,2,3,1,,
2020/3/31,出城３丁目,,計,358,620,,2,3,3,6,,4,4,3,6,7,4,6,6,6,8,5,4,7,6,4,10,5,3,2,13,7,5,4,1,2,1,3,2,3,2,5,4,4,5,9,7,6,8,3,10,2,12,11,9,10,9,10,10,7,11,1,8,9,10,5,9,6,6,8,4,4,8,8,10,7,16,16,12,13,9,10,16,15,12,15,7,3,11,13,7,7,8,5,4,2,2,,3,,1,,,,,,1,
2020/3/31,長橋１丁目,,計,833,"1,327",,7,12,4,10,16,6,10,6,12,10,11,9,9,8,3,10,11,6,12,11,18,16,22,18,15,23,22,21,15,11,14,17,15,15,15,12,17,9,15,19,17,9,12,12,9,18,16,18,19,19,12,13,14,10,18,23,19,14,16,10,11,18,11,13,21,16,17,21,15,25,27,20,24,20,19,19,19,22,19,25,16,25,15,14,14,10,9,8,4,6,3,5,2,,,1,,,1,,2,
2020/3/31,長橋２丁目,,計,345,542,,3,5,2,7,2,5,4,3,3,4,6,4,1,3,,2,,3,2,8,7,6,7,6,6,6,5,6,3,6,6,8,8,7,7,3,6,6,5,6,4,5,1,3,4,4,9,3,5,9,5,8,7,5,5,7,4,5,6,9,4,7,11,6,7,5,11,10,8,9,13,10,12,10,7,3,12,10,16,11,9,11,10,7,2,5,5,7,4,2,1,,2,,,,,,,,,
2020/3/31,長橋３丁目,,計,754,"1,055",,1,8,3,1,3,2,4,2,4,9,3,4,5,7,4,4,4,7,4,6,9,11,13,11,17,8,13,10,11,13,7,5,8,7,5,7,7,8,11,12,6,11,9,11,12,11,15,15,18,14,11,16,12,16,13,17,16,13,11,12,11,15,17,13,17,22,21,22,15,21,31,24,22,19,16,14,13,22,25,18,11,14,19,22,15,9,8,8,10,9,5,4,2,1,1,,,1,,1,,
2020/3/31,鶴見橋１丁目,,計,"1,700","2,188",,5,7,8,5,,2,6,1,5,2,3,1,2,5,2,5,6,6,9,12,23,23,21,37,25,29,34,29,18,21,15,22,25,21,11,16,16,15,19,24,14,14,18,19,21,20,21,18,27,21,22,17,25,13,25,36,20,27,27,30,41,24,25,32,41,38,34,44,50,64,57,63,69,47,33,46,56,45,44,52,41,35,41,24,37,27,24,9,11,11,13,6,8,4,9,1,1,4,4,1,1,
2020/3/31,鶴見橋２丁目,,計,979,"1,388",,5,5,4,4,4,2,4,4,4,6,7,11,11,3,3,10,8,10,7,11,18,15,15,9,12,11,15,14,12,17,10,13,11,5,13,6,10,11,12,13,14,10,5,13,12,12,20,13,19,21,27,14,25,16,19,24,24,17,15,21,17,18,13,29,14,20,21,21,28,33,36,29,37,34,21,29,15,19,29,13,17,25,26,21,18,18,23,16,10,7,9,3,4,3,3,1,1,,,,1,
2020/3/31,鶴見橋３丁目,,計,962,"1,461",,5,4,6,4,1,6,10,8,7,4,8,7,8,7,7,2,8,4,3,28,16,19,16,10,14,18,23,11,18,15,12,12,12,18,14,11,18,12,13,10,8,11,15,13,10,22,18,24,15,18,21,21,17,24,13,11,20,19,16,19,10,23,14,11,20,20,24,32,20,38,31,36,33,47,19,37,31,25,24,18,22,16,14,23,14,11,17,9,14,12,7,2,4,5,5,,5,2,2,,,
2020/3/31,旭１丁目,,計,732,"1,171",,8,8,5,4,4,5,4,6,5,9,4,5,10,5,8,7,6,5,18,13,14,12,13,9,15,21,19,9,15,15,6,13,7,10,11,12,10,13,12,16,12,7,14,12,16,10,20,17,11,18,23,12,13,6,19,18,17,13,10,14,11,11,11,10,13,12,13,12,15,23,19,29,27,15,18,15,21,21,22,20,10,18,20,16,20,20,10,9,7,4,6,4,5,5,4,2,,,,,,
2020/3/31,旭２丁目,,計,488,669,,,1,1,1,1,2,2,1,2,,1,3,3,3,2,2,2,2,4,4,4,3,8,6,8,4,8,3,6,6,5,4,4,6,4,1,9,4,4,4,4,5,3,5,5,5,9,12,13,12,6,16,16,7,11,12,14,5,10,12,6,4,6,7,7,12,12,18,16,15,18,18,16,18,11,10,11,16,12,13,14,13,19,9,6,12,8,6,1,3,2,2,5,,1,1,1,,,,,
